City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Tateyama,JP,34.9833,139.8667,67.1,76,100,8.1,overcast clouds
Albany,US,42.6001,-73.9662,52.66,73,7,10.07,clear sky
Vaini,TO,-21.2,-175.2,77.16,83,75,11.5,broken clouds
Avarua,CK,-21.2078,-159.775,78.85,73,40,16.11,scattered clouds
Mataura,NZ,-46.1927,168.8643,62.47,39,48,5.75,scattered clouds
Mahebourg,MU,-20.4081,57.7,70.09,73,40,11.5,scattered clouds
Port-Cartier,CA,50.0334,-66.8654,43.02,96,100,18.63,overcast clouds
Butaritari,KI,3.0707,172.7902,82.56,74,90,11.21,overcast clouds
Puerto Ayora,EC,-0.7393,-90.3518,66.54,92,100,7.0,overcast clouds
Kalmunai,LK,7.4167,81.8167,78.42,81,100,5.93,overcast clouds
Atuona,PF,-9.8,-139.0333,76.15,80,27,18.66,light rain
Kapaa,US,22.0752,-159.319,82.72,70,40,13.8,scattered clouds
Castro,BR,-24.7911,-50.0119,50.92,88,81,4.25,broken clouds
Omboue,GA,-1.5746,9.2618,73.35,91,67,2.64,broken clouds
Iqaluit,CA,63.7506,-68.5145,26.33,68,100,9.22,overcast clouds
Dikson,RU,73.5069,80.5464,33.06,99,100,11.59,overcast clouds
Morros,BR,-9.4467,-46.3003,85.59,25,42,2.39,scattered clouds
Ilulissat,GL,69.2167,-51.1,24.82,86,100,0.0,overcast clouds
Hilo,US,19.7297,-155.09,85.73,80,0,17.27,clear sky
Yellowknife,CA,62.456,-114.3525,48.72,87,20,4.61,few clouds
Clyde River,CA,70.4692,-68.5914,17.83,86,75,13.8,broken clouds
Jamestown,US,42.097,-79.2353,49.59,62,100,6.91,overcast clouds
Saint-Augustin,CA,51.226,-58.6502,41.77,87,100,18.79,overcast clouds
Beloha,MG,-25.1667,45.05,68.14,83,0,5.7,clear sky
Burns Lake,CA,54.2331,-125.7533,69.22,57,0,2.73,clear sky
East London,ZA,-33.0153,27.9116,62.31,84,97,16.04,overcast clouds
Hohhot,CN,40.8106,111.6522,43.09,87,20,4.47,few clouds
Khatanga,RU,71.9667,102.5,25.99,96,100,13.98,light snow
Hobart,AU,-42.8794,147.3294,56.05,56,40,11.5,scattered clouds
Caravelas,BR,-17.7125,-39.2481,75.83,87,100,13.0,overcast clouds
Busselton,AU,-33.65,115.3333,56.98,64,18,5.37,few clouds
Kutum,SD,14.2,24.6667,77.04,28,20,14.72,few clouds
Ushuaia,AR,-54.8,-68.3,35.26,93,100,17.27,light rain
Santa Rosa,PH,14.3122,121.1114,84.09,71,98,11.14,overcast clouds
Punta Arenas,CL,-53.15,-70.9167,41.11,70,40,16.11,scattered clouds
Clemencia,CO,10.5665,-75.325,79.97,90,100,1.9,overcast clouds
Saskylakh,RU,71.9167,114.0833,26.08,95,100,13.18,light snow
Nantucket,US,41.2835,-70.0995,62.71,93,0,10.36,clear sky
Bluff,NZ,-46.6,168.3333,62.8,54,42,2.86,scattered clouds
Saint-Philippe,RE,-21.3585,55.7679,65.79,77,43,10.94,scattered clouds
Carnot,CF,4.9409,15.8665,67.87,98,97,0.87,light rain
Alofi,NU,-19.0595,-169.9187,80.49,69,100,14.97,overcast clouds
Avera,US,33.194,-82.5271,69.31,47,0,5.28,clear sky
Ketchikan,US,55.3422,-131.6461,57.67,88,20,0.0,few clouds
Kodiak,US,57.79,-152.4072,53.11,87,100,0.0,light rain
Rikitea,PF,-23.1203,-134.9692,70.88,72,14,24.38,few clouds
Udachnyy,RU,66.4167,112.4,20.68,91,100,7.9,overcast clouds
Indianola,US,41.3581,-93.5574,49.86,67,0,7.07,clear sky
Westport,US,41.1415,-73.3579,67.78,56,100,11.5,overcast clouds
Georgetown,MY,5.4112,100.3354,80.53,88,20,5.01,few clouds
Nago,JP,26.5881,127.9761,81.03,69,100,11.97,overcast clouds
Ostrowiec Swietokrzyski,PL,50.9294,21.3853,49.68,90,7,5.95,clear sky
Bambous Virieux,MU,-20.3428,57.7575,70.05,73,40,11.5,scattered clouds
Ribeira Grande,PT,38.5167,-28.7,71.02,89,11,5.64,few clouds
Pilar,BR,-9.5972,-35.9567,73.33,94,0,4.68,clear sky
Chuy,UY,-33.6971,-53.4616,53.06,77,1,7.02,clear sky
Saint George,US,37.1041,-113.5841,86.59,24,0,4.61,clear sky
Hermanus,ZA,-34.4187,19.2345,54.81,83,100,9.69,overcast clouds
Kumluca,TR,36.3703,30.2869,68.0,54,7,5.03,clear sky
Itarema,BR,-2.9248,-39.9167,77.92,82,0,11.34,clear sky
Melbu,NO,68.5044,14.8297,46.22,81,100,6.91,overcast clouds
Bredasdorp,ZA,-34.5322,20.0403,52.11,92,100,3.56,overcast clouds
Upernavik,GL,72.7868,-56.1549,15.76,80,98,6.04,overcast clouds
Hasaki,JP,35.7333,140.8333,70.21,69,100,9.37,overcast clouds
Llanes,ES,43.4198,-4.7549,63.82,88,100,7.87,overcast clouds
New Norfolk,AU,-42.7826,147.0587,56.71,63,82,4.0,broken clouds
Grand-Santi,GF,4.25,-54.3833,78.6,64,8,4.61,clear sky
Mar Del Plata,AR,-38.0023,-57.5575,59.02,67,20,4.61,light rain
Azuaga,ES,38.2667,-5.6833,63.97,49,3,4.72,clear sky
Port Hedland,AU,-20.3167,118.5667,84.25,21,57,24.16,broken clouds
Kaitangata,NZ,-46.2817,169.8464,56.26,48,38,2.15,scattered clouds
Ust-Maya,RU,60.4167,134.5333,24.06,68,100,6.4,overcast clouds
Kalaleh,IR,37.3807,55.4916,64.0,72,40,0.0,scattered clouds
Port Alfred,ZA,-33.5906,26.891,60.19,83,100,1.99,overcast clouds
Vila Franca Do Campo,PT,37.7167,-25.4333,73.2,85,94,5.86,overcast clouds
Maragogi,BR,-9.0122,-35.2225,75.52,86,0,5.41,clear sky
Touros,BR,-5.1989,-35.4608,78.04,81,1,15.5,clear sky
Kasongo-Lunda,CD,-6.4667,16.8167,68.61,97,40,1.5,scattered clouds
Chernogolovka,RU,56.0,38.3667,44.58,87,100,5.91,overcast clouds
San Cristobal,VE,7.7669,-72.225,75.38,96,100,2.77,overcast clouds
Qaanaaq,GL,77.484,-69.3632,6.46,71,6,8.3,clear sky
Riyadh,SA,24.6877,46.7219,75.34,15,0,2.06,clear sky
Okhotsk,RU,59.3833,143.3,32.43,48,88,9.28,overcast clouds
Tambovka,RU,50.0969,128.0489,40.95,45,100,9.8,overcast clouds
Two Rivers,US,44.1539,-87.5693,43.29,81,0,0.0,clear sky
Banda Aceh,ID,5.5577,95.3222,77.59,76,100,5.48,light rain
Chokurdakh,RU,70.6333,147.9167,23.74,89,100,23.69,light snow
Qujing,CN,25.4833,103.7833,60.17,90,100,9.69,overcast clouds
Wattegama,LK,6.7989,81.4808,75.61,80,100,1.61,overcast clouds
Sao Filipe,CV,14.8961,-24.4956,78.67,84,46,5.28,scattered clouds
Barrow,US,71.2906,-156.7887,35.62,80,100,26.46,light rain
Cape Town,ZA,-33.9258,18.4232,58.12,82,0,4.61,clear sky
Kavieng,PG,-2.5744,150.7967,84.99,63,100,14.34,overcast clouds
Eydhafushi,MV,5.1033,73.0708,81.91,69,90,15.79,overcast clouds
Bodden Town,KY,19.2833,-81.25,84.2,76,0,14.97,clear sky
Tuktoyaktuk,CA,69.4541,-133.0374,50.0,57,75,18.41,broken clouds
Arroyo,ES,41.6096,-4.7969,59.04,77,100,10.36,overcast clouds
Ambilobe,MG,-13.2,49.05,64.44,73,32,5.06,scattered clouds
Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,75.72,85,0,5.48,clear sky
Loukisia,GR,38.4833,23.45,63.55,62,0,12.46,clear sky
Yerbogachen,RU,61.2767,108.0108,31.89,81,100,10.96,overcast clouds
Poum,NC,-20.2333,164.0167,77.79,74,10,10.6,clear sky
Saint-Francois,FR,46.4154,3.9054,55.67,100,100,0.0,overcast clouds
Talaya,RU,61.3833,152.75,16.14,82,100,3.69,overcast clouds
Jalu,LY,29.0331,21.5482,67.15,61,3,6.93,clear sky
